source,date,location,content,severity,tags
Government Press Release,2025-08-16,Oregun,Police confirm arrest of assault suspects around Oregun. 5 hotspots identified involved.,Medium,"kidnapping,burglary,press_briefing,assault"
Premium Times,2025-08-28,Secretariat Bus Stop,Govt statement from Alausa: CCTV expansion targeting robbery in Secretariat Bus Stop.,Critical,"arrest,community_policing,press_briefing"
The Nation,2025-07-23,Secretariat Bus Stop,"Quarterly stats show 12 cases this month for robbery across Ikeja, focus on Secretariat Bus Stop.",High,"car_theft,press_briefing"
Government Press Release,2025-09-07,Mobolaji Bank Anthony Way,Govt statement from Alausa: new street-lighting initiative targeting burglary in Mobolaji Bank Anthony Way.,Medium,"policy,community_policing,burglary,car_theft"
Premium Times,2025-07-17,Secretariat Bus Stop,Govt statement from Alausa: public awareness campaign targeting burglary in Secretariat Bus Stop.,Low,"arrest,community_policing,burglary,press_briefing"
The Nation,2025-08-21,Awolowo Way,Police confirm arrest of suspected burglary ring around Awolowo Way. 5 hotspots identified involved.,Medium,"policy,assault"
ChannelsTV,2025-06-18,Ikeja GRA,Govt statement from Alausa: community policing program targeting one_chance in Ikeja GRA.,Medium,"policy,press_briefing,car_theft,kidnapping"
Archiv.ng,2025-07-30,Opebi,Archiv.ng reports arrest of suspected burglary ring in Opebi; authorities deploy undercover units.,Low,"cybercrime,burglary,car_theft,robbery"
Guardian,2025-08-24,Lonlo,Guardian reports increase in car theft cases in Lonlo; authorities engage community leaders.,Medium,"community_policing,assault"
The Nation,2025-08-16,Oregun,Govt statement from Alausa: new street-lighting initiative targeting cybercrime in Oregun.,Medium,"arrest,burglary,car_theft,press_briefing"
Guardian,2025-09-14,Adeniyi Jones,Govt statement from Alausa: traffic enforcement blitz targeting theft in Adeniyi Jones.,High,"community_policing,statistics"
Archiv.ng,2025-06-13,Alausa,Residents report recovery of snatched laptops near Alausa; security operatives deploy undercover units.,Low,"policy,cybercrime,kidnapping"
Police Report,2025-09-15,Computer Village,Residents report arrest of suspected burglary ring near Computer Village; security operatives engage community leaders.,Medium,"assault,car_theft,press_briefing"
Vanguard,2025-06-23,Secretariat Bus Stop,"Quarterly stats show zero fatalities for one_chance across Ikeja, focus on Secretariat Bus Stop.",Low,"cybercrime,car_theft,robbery"
Guardian,2025-06-10,Secretariat Bus Stop,Govt statement from Alausa: public awareness campaign targeting one_chance in Secretariat Bus Stop.,Low,"kidnapping,burglary,assault"
Premium Times,2025-09-15,Adeniyi Jones,Police confirm arrest of assault suspects around Adeniyi Jones. zero fatalities involved.,Medium,"arrest,policy,community_policing,press_briefing"
Guardian,2025-07-19,Ikeja Along,Guardian reports arrest of suspected burglary ring in Ikeja Along; authorities launch investigation.,Medium,"arrest,community_policing"
ChannelsTV,2025-08-22,Oregun,"Quarterly stats show 8 arrests for robbery across Ikeja, focus on Oregun.",Low,"arrest,cybercrime,robbery"
Government Press Release,2025-09-20,Adeniyi Jones,Residents report arrest of assault suspects near Adeniyi Jones; security operatives deploy undercover units.,Medium,"community_policing,press_briefing,robbery"
Guardian,2025-09-01,Lonlo,Police confirm arrest of suspected burglary ring around Lonlo. 12 cases this month involved.,Medium,"community_policing,assault"
Premium Times,2025-06-29,Secretariat Bus Stop,Premium Times reports seizure of stolen phones in Secretariat Bus Stop; authorities deploy undercover units.,Medium,"car_theft,press_briefing,statistics"
Archiv.ng,2025-06-17,Alausa,Archiv.ng reports seizure of stolen phones in Alausa; authorities increase patrols.,High,"arrest,cybercrime,burglary"
ChannelsTV,2025-06-28,Ipodo,Police confirm arrest of suspected burglary ring around Ipodo. 15 stolen items recovered involved.,High,"arrest,robbery"
Archiv.ng,2025-07-23,Computer Village,"Quarterly stats show 8 arrests for assault across Ikeja, focus on Computer Village.",Critical,"policy,press_briefing,statistics"
Premium Times,2025-09-13,Oba Akran,Premium Times reports decline in reported robberies in Oba Akran; authorities mount roadblocks.,Low,"cybercrime,press_briefing"
Vanguard,2025-06-05,Allen Avenue,Residents report disruption of one-chance syndicate near Allen Avenue; security operatives launch investigation.,Critical,"policy,cybercrime"
Vanguard,2025-09-03,Alausa,Govt statement from Alausa: public awareness campaign targeting one_chance in Alausa.,Critical,"policy,assault"
Premium Times,2025-06-25,Mobolaji Bank Anthony Way,Police confirm decline in reported robberies around Mobolaji Bank Anthony Way. 3 suspects at large involved.,Medium,"cybercrime,community_policing,assault,robbery"
Vanguard,2025-06-11,Ikeja Along,Police confirm seizure of stolen phones around Ikeja Along. 12 cases this month involved.,High,"community_policing,robbery"
Government Press Release,2025-06-23,Mobolaji Bank Anthony Way,Govt statement from Alausa: public awareness campaign targeting robbery in Mobolaji Bank Anthony Way.,Medium,"policy,burglary,assault"
Punch,2025-07-01,Awolowo Way,"Quarterly stats show 3 suspects at large for theft across Ikeja, focus on Awolowo Way.",Medium,"community_policing,assault,statistics"
Punch,2025-09-11,Secretariat Bus Stop,Police confirm arrest of assault suspects around Secretariat Bus Stop. 5 hotspots identified involved.,Low,"kidnapping,robbery"
Guardian,2025-07-16,Computer Village,Guardian reports bust of counterfeit ring in Computer Village; authorities engage community leaders.,Medium,"assault,statistics"
