source,timestamp,location,content,sentiment,tags
Nairaland,2025-08-02 23:46:00,Oregun,Thread says fraud attempt ongoing close to Oregun; call 112 if needed.,Negative,"police_presence,arrest,scam,phone_snatch,night"
Twitter,2025-07-25 06:32:32,Adeniyi Jones,Heard about street fight near Adeniyi Jones this morning. Any updates?,Negative,"one_chance,night"
Nairaland,2025-07-21 09:00:56,Ikeja Along,Report of fraud attempt near Ikeja Along. People scattering. #StaySafe,Negative,"traffic,assault"
Facebook,2025-07-31 18:01:58,Allen Avenue,Report of attempted robbery near Allen Avenue. People shouting. #SecurityAlert,Neutral,"market,robbery"
Facebook,2025-07-10 19:41:55,Ipodo,Photo caption: fight broke out at Ipodo. #StaySafe,Negative,"robbery,crowd"
Nairaland,2025-07-18 05:03:33,Oregun,Witnessed scuffle around Oregun; stay safe everyone.,Negative,"pickpocket,crowd,theft,burglary,vandalism"
Nairaland,2025-07-16 02:47:20,Alausa,Heard about car theft near Alausa this night. Any updates?,Negative,"daytime,transit"
Nairaland,2025-06-29 03:44:26,Ikeja GRA,Thread says shop break-in ongoing close to Ikeja GRA; keep valuables hidden.,Positive,"traffic,neighborhood_watch,transit"
Nairaland,2025-09-19 03:23:48,Mobolaji Bank Anthony Way,Police seen making arrests around Mobolaji Bank Anthony Way. Area looks quiet.,Positive,"police_presence,crowd,burglary,transit,vandalism"
Twitter,2025-09-05 06:56:51,Lonlo,Friend's phone attempted robbery at Lonlo. Please be careful.,Negative,"traffic,arrest,burglary,daytime,vandalism"
Nairaland,2025-07-08 17:53:38,Opebi,Thread says attempted robbery ongoing close to Opebi; stay in groups.,Negative,"arrest,daytime"
Twitter,2025-09-12 15:06:10,Adekunle Fajuyi Way,Photo caption: fight broke out at Adekunle Fajuyi Way. #SecurityAlert,Neutral,"assault,neighborhood_watch,crowd"
Facebook,2025-07-10 00:03:08,Computer Village,Heard about armed robbery near Computer Village this night. Any updates?,Neutral,"theft,neighborhood_watch,crowd,transit"
Nairaland,2025-06-26 14:21:47,Allen Avenue,Heard about assault near Allen Avenue this late night. Any updates?,Negative,"police_presence,kidnap_rumor,pickpocket,crowd,robbery"
Twitter,2025-08-18 07:56:20,Adeniyi Jones,Witnessed vandalism attempt around Adeniyi Jones; stay safe everyone.,Negative,"pickpocket,robbery"
Twitter,2025-08-06 13:35:35,Opebi,Friend's phone shop break-in at Opebi. Please be careful.,Positive,"arrest,traffic,transit"
Facebook,2025-08-23 09:45:38,Adekunle Fajuyi Way,Photo caption: fight broke out at Adekunle Fajuyi Way. #StaySafe,Neutral,"police_presence,crowd,vandalism,daytime,suspicious_vehicle"
Facebook,2025-09-06 15:21:20,Ikeja GRA,Police seen questioning suspects around Ikeja GRA. Area looks quiet.,Negative,"burglary,assault,robbery"
Nairaland,2025-09-01 03:19:55,Ipodo,Witnessed pickpocketing around Ipodo; stay safe everyone.,Neutral,"kidnap_rumor,pickpocket,crowd,arrest,scam"
Nairaland,2025-08-13 12:08:21,Ikeja Along,Police seen making arrests around Ikeja Along. Area looks tense.,Positive,"vandalism,suspicious_vehicle,scam,transit"
Twitter,2025-08-16 16:53:23,Opebi,Report of burglary near Opebi. People shouting. #Ikeja,Negative,"arrest,police_presence,kidnap_rumor,market"
Instagram,2025-08-05 16:28:51,Adekunle Fajuyi Way,Thread says shop break-in ongoing close to Adekunle Fajuyi Way; call 112 if needed.,Negative,"daytime,police_presence,crowd"
Facebook,2025-07-28 21:59:12,Ipodo,Photo caption: police patrol at Ipodo. #LagosTraffic,Negative,"daytime,phone_snatch,pickpocket,neighborhood_watch"
Facebook,2025-08-18 06:12:09,Lonlo,Report of phone snatching near Lonlo. People shouting. #SecurityAlert,Negative,"theft,burglary,robbery,neighborhood_watch"
Facebook,2025-06-23 01:51:50,Mobolaji Bank Anthony Way,Heard about armed robbery near Mobolaji Bank Anthony Way this evening. Any updates?,Negative,"pickpocket,neighborhood_watch,transit,daytime,night"
Facebook,2025-07-15 21:25:26,Adekunle Fajuyi Way,Police seen patrolling around Adekunle Fajuyi Way. Area looks quiet.,Neutral,"traffic,police_presence,burglary,pickpocket"
Instagram,2025-07-17 12:44:20,Mobolaji Bank Anthony Way,Photo caption: phone snatched at Mobolaji Bank Anthony Way. #ComputerVillage,Neutral,"phone_snatch,night,kidnap_rumor"
Facebook,2025-09-17 14:47:18,Secretariat Bus Stop,Witnessed armed robbery around Secretariat Bus Stop; stay safe everyone.,Negative,"traffic,vandalism,assault,suspicious_vehicle,market"
Facebook,2025-08-23 19:02:22,Adekunle Fajuyi Way,Witnessed shop break-in around Adekunle Fajuyi Way; stay safe everyone.,Neutral,"traffic,crowd,arrest,one_chance,assault"
Nairaland,2025-06-29 14:20:18,Allen Avenue,Friend's phone motorcycle snatching at Allen Avenue. Please be careful.,Positive,"neighborhood_watch,transit,daytime,robbery,suspicious_vehicle"
Nairaland,2025-08-12 23:14:26,Oba Akran,Heard about attempted robbery near Oba Akran this morning. Any updates?,Neutral,"night,crowd"
Facebook,2025-07-17 06:24:43,Ikeja Along,Photo caption: police patrol at Ikeja Along. #LagosTraffic,Positive,"scam,one_chance,pickpocket"
Nairaland,2025-08-27 18:12:05,Awolowo Way,Friend's phone pickpocketing at Awolowo Way. Please be careful.,Negative,"suspicious_vehicle,phone_snatch,night,neighborhood_watch"
Instagram,2025-08-26 05:52:44,Ikeja GRA,Friend's phone burglary at Ikeja GRA. Please be careful.,Neutral,"arrest,assault"
Twitter,2025-07-16 17:30:24,Lonlo,Police seen patrolling around Lonlo. Area looks busy.,Negative,"pickpocket,one_chance,daytime,night,vandalism"
Nairaland,2025-08-12 05:49:46,Ipodo,Friend's phone street fight at Ipodo. Please be careful.,Negative,"transit,scam,vandalism,assault,suspicious_vehicle"
Instagram,2025-07-14 22:11:34,Ikeja GRA,Police seen patrolling around Ikeja GRA. Area looks tense.,Negative,"traffic,suspicious_vehicle,arrest,police_presence"
Instagram,2025-08-16 00:57:05,Opebi,Witnessed one chance bus around Opebi; stay safe everyone.,Neutral,"suspicious_vehicle,phone_snatch,burglary,kidnap_rumor"
Nairaland,2025-07-07 17:06:51,Adekunle Fajuyi Way,Witnessed fraud attempt around Adekunle Fajuyi Way; stay safe everyone.,Neutral,"police_presence,pickpocket,burglary,robbery,suspicious_vehicle"
Instagram,2025-09-12 05:38:02,Oregun,Police seen making arrests around Oregun. Area looks busy.,Negative,"pickpocket,assault,market"
Twitter,2025-07-19 13:18:56,Awolowo Way,Heard about fraud attempt near Awolowo Way this morning. Any updates?,Positive,"vandalism,theft,kidnap_rumor"
